cost,price,weight,purchase_date,product_type,product_level,maker,ingredient,height,width,depth
$50k,"$136,944",2 Ton 980 Kg,Sep 16 2016,"N,D",advanced,M14668,"IN732405,IN732296,IN732648",2.46 meters,101 cm,27 cm
,"$26,504",2 Ton 940 Kg,Dec 11 1998,D,advanced,,"IN733593,IN733235,IN732554,IN732356,IN732717",2.45 meters,101 cm,26 cm
$191k,"$153,587",3 Ton 10 Kg,Jun 02 2017,C,intermediate,M14669,"IN732368,IN732101,IN732342,IN733035,IN733355",2.84 meters,95 cm,25 cm
,"$21,922",2 Ton 960 Kg,Jun 12 1998,"K,A",advanced,,,2.96 meters,92 cm,24 cm
$66k,"$56,467",2 Ton 950 Kg,Jan 20 2006,"L,A",super advanced,,,2.86 meters,93 cm,24 cm
$411k,"$679,526",2 Ton 910 Kg,Mar 20 2009,C,intermediate,,"IN732591,IN733019,IN732322,IN732981,IN732638,IN732213,IN732729,IN732514,IN732730,IN732339",2.46 meters,100 cm,26 cm
$474k,"$521,864",2 Ton 910 Kg,Mar 08 2012,C,intermediate,M14670,"IN732591,IN732322,IN733019,IN732638,IN732213,IN732729,IN732514,IN732270,IN732715,IN733197",2.39 meters,102 cm,27 cm
,"$453,627",2 Ton 950 Kg,Nov 11 2016,C,intermediate,"M14671,M14670","IN732591,IN732638,IN732624,IN732514,IN733019,IN732109,IN732322,IN732729,IN732213",2.7 meters,96 cm,25 cm
$34k,"$53,103",2 Ton 810 Kg,Nov 08 2002,"D,A",advanced,M14292,,2.85 meters,92 cm,24 cm
,"$205,718",3 Ton 380 Kg,Jul 03 1998,"F,H",super advanced,M14161,"IN732117,IN732189,IN732789,IN732238,IN732617",2.3 meters,112 cm,29 cm
$97k,,3 Ton 280 Kg,Sep 22 2017,"P,P",advanced,M14672,"IN733086,IN732500",2.37 meters,108 cm,28 cm
$59k,"$44,726",3 Ton 110 Kg,Nov 14 2014,H,advanced,M14657,"IN732486,IN732531,IN733594",2.13 meters,111 cm,29 cm
,"$236,898",3 Ton 150 Kg,Jul 15 2005,"H,A",advanced,M14673,"IN732232,IN732275,IN732506",2.38 meters,106 cm,28 cm
$223k,"$135,561",3 Ton 100 Kg,May 04 2007,"K,H",advanced,M14205,"IN732082,IN732215,IN732468,IN733595,IN732895,IN733285",2.47 meters,103 cm,27 cm
$113k,"$102,528",2 Ton 820 Kg,Apr 28 2000,"N,D",super advanced,,IN732143,2.58 meters,96 cm,25 cm
$66k,"$126,068",3 Ton 100 Kg,Jul 03 2009,"U,H",advanced,M14458,"IN732094,IN733275,IN732363",2.85 meters,96 cm,25 cm
$317k,"$158,034",2 Ton 930 Kg,Mar 19 2010,"B,D",advanced,M14407,"IN732665,IN732338,IN732318,IN732186,IN733482",3.37 meters,86 cm,23 cm
$364k,"$414,795",3 Ton 0 Kg,Mar 29 2002,"B,A",advanced,M14419,"IN732322,IN732282,IN733596,IN732982",2.66 meters,98 cm,26 cm
$301k,"$208,996",3 Ton 100 Kg,May 07 2004,"B,A",advanced,M14674,"IN732322,IN732172,IN732523,IN733596,IN732569,IN733535",2.63 meters,100 cm,26 cm
,"$28,843",2 Ton 930 Kg,Aug 15 1997,"J,D",intermediate,M14675,"IN732501,IN732368",2.72 meters,96 cm,25 cm
$97k,"$114,585",2 Ton 990 Kg,Apr 13 2012,"D,R",advanced,M14676,"IN732596,IN732562,IN732624,IN733597,IN732711,IN733355,IN732295,IN733064,IN733598",2.74 meters,96 cm,25 cm
,"$51,979",2 Ton 890 Kg,Jan 05 2007,D,advanced,,IN732976,2.3 meters,103 cm,27 cm
,"$49,494",2 Ton 990 Kg,Oct 08 2009,R,advanced,,"IN733019,IN732384,IN733599,IN733546,IN733600,IN732986,IN733601",2.22 meters,107 cm,28 cm
,"$21,378",3 Ton 30 Kg,Feb 14 1997,"U,H",super advanced,M14677,"IN732510,IN732930",2.89 meters,94 cm,25 cm
$144k,"$123,355",3 Ton 120 Kg,Oct 27 2006,"D,H",advanced,M14678,IN732738,2.51 meters,103 cm,27 cm
$213k,"$59,631",3 Ton 10 Kg,Jul 04 1997,"Q,A",super advanced,M14370,"IN732074,IN732566,IN732104",2.9 meters,94 cm,25 cm
,"$13,179",3 Ton 10 Kg,Jun 28 2013,H,intermediate,,,2.68 meters,98 cm,26 cm
$91k,"$203,511",2 Ton 900 Kg,Aug 15 2014,D,advanced,M14478,"IN732349,IN732097,IN732505,IN732314,IN733242",2.54 meters,98 cm,26 cm
$160k,"$233,178",3 Ton 80 Kg,Jul 30 2010,U,super advanced,M14172,"IN732466,IN732172,IN732612",2.74 meters,98 cm,26 cm
,"$120,214",3 Ton 150 Kg,Jun 12 2013,"F,H",super advanced,M14679,"IN732893,IN732857,IN733115,IN732270,IN732331,IN732470,IN732789,IN733025",2.35 meters,107 cm,28 cm
,"$10,287",2 Ton 920 Kg,Oct 25 1996,N,advanced,,,2.19 meters,106 cm,28 cm
$103k,"$58,862",2 Ton 870 Kg,Feb 11 2005,"D,R",advanced,,"IN732441,IN732581,IN732430,IN732323",2.46 meters,99 cm,26 cm
,"$31,247",3 Ton 170 Kg,May 21 2004,"D,R",advanced,M14680,"IN732054,IN732109,IN732850",2.43 meters,105 cm,28 cm
$62k,"$84,145",2 Ton 970 Kg,Oct 22 2010,"D,R",intermediate,,"IN732535,IN733013,IN732648",2.45 meters,101 cm,27 cm
$185k,"$101,282",3 Ton 140 Kg,Jan 16 2009,"T,D",advanced,M14422,"IN732746,IN732619,IN732089,IN733374",3.18 meters,91 cm,24 cm
$50k,"$37,040",2 Ton 880 Kg,Jun 05 1998,"J,D",intermediate,,IN733330,2.87 meters,92 cm,24 cm
,"$103,343",3 Ton 120 Kg,Aug 09 1996,H,super advanced,,IN732231,2.93 meters,95 cm,25 cm
$97k,"$369,129",3 Ton 320 Kg,May 30 2014,H,advanced,M14681,"IN732642,IN733011,IN732093,IN733384,IN732657,IN732658,IN732595,IN733602,IN732137,IN732332,IN732668,IN732473,IN733136,IN732254,IN732212,IN733394,IN732769",2.58 meters,104 cm,27 cm
,"$15,989",2 Ton 950 Kg,Nov 16 2001,"B,A",advanced,,,2.43 meters,101 cm,27 cm
$53k,"$46,763",3 Ton 50 Kg,Jul 17 2015,U,advanced,M14682,"IN732231,IN732274,IN733603",2.85 meters,95 cm,25 cm
$59k,"$305,947",2 Ton 960 Kg,Apr 26 2002,D,advanced,M14136,"IN732551,IN732196,IN733200,IN732273,IN732311",2.79 meters,95 cm,25 cm
$144k,"$286,047",2 Ton 950 Kg,Apr 14 2004,D,advanced,,"IN732551,IN733291,IN732273,IN732196",2.75 meters,95 cm,25 cm
$254k,"$177,627",2 Ton 900 Kg,Jul 08 2011,C,intermediate,M14145,"IN732288,IN733121,IN732650,IN733117,IN733604,IN733245,IN732116,IN732967,IN732175",2.31 meters,103 cm,27 cm
$223k,"$29,303",2 Ton 880 Kg,Feb 20 2015,C,intermediate,"M14615,M14683","IN733605,IN732994,IN732099,IN733606,IN732856,IN732369,IN733353",2.62 meters,97 cm,25 cm
$84k,"$128,910",3 Ton 0 Kg,Nov 05 2010,"N,U",super advanced,M14451,"IN732261,IN732205,IN733607,IN732152,IN732528,IN733608",2.26 meters,106 cm,28 cm
$443k,"$375,420",3 Ton 130 Kg,Sep 30 2005,"J,B",intermediate,M14407,"IN732267,IN732257,IN733110,IN732252,IN733081,IN732295",3.03 meters,94 cm,25 cm
,"$47,003",3 Ton 340 Kg,Feb 12 1999,"Q,H",advanced,,"IN732325,IN733245,IN732748,IN732931",2.49 meters,107 cm,28 cm
$194k,"$470,218",3 Ton 570 Kg,Oct 08 2013,"P,P",advanced,M14684,"IN732685,IN732189,IN732469,IN732326,IN732474,IN732471,IN733247",2.99 meters,101 cm,26 cm
$66k,"$40,841",3 Ton 150 Kg,Jul 15 2011,N,super advanced,M14413,"IN733116,IN732210,IN733128,IN732376",2.84 meters,97 cm,25 cm
$443k,"$412,522",3 Ton 270 Kg,Apr 23 1999,"D,A",super advanced,M14131,"IN733023,IN732115,IN732833,IN732256,IN732859",2.41 meters,107 cm,28 cm
$56k,"$261,557",3 Ton 40 Kg,May 27 2015,"D,A",super advanced,M14685,"IN732128,IN732821,IN732125,IN732805,IN732937",2.65 meters,99 cm,26 cm
,"$17,264",2 Ton 840 Kg,Aug 31 2007,D,super advanced,M14686,"IN732712,IN732875",3.01 meters,89 cm,23 cm
$62k,"$45,934",3 Ton 410 Kg,Oct 03 2007,V,super advanced,M14196,IN732742,2.75 meters,103 cm,27 cm
$12k,"$11,667",3 Ton 100 Kg,Jan 21 2011,H,intermediate,,,2.15 meters,111 cm,29 cm
$97k,"$169,325",3 Ton 50 Kg,Feb 25 2011,R,intermediate,M14127,"IN732326,IN732668",2.6 meters,100 cm,26 cm
,"$572,637",2 Ton 860 Kg,Jan 02 1998,"K,D",advanced,M14367,"IN732267,IN732713,IN733609,IN732268,IN732920",2.64 meters,96 cm,25 cm
,"$140,319",3 Ton 0 Kg,Apr 15 2008,"D,R",advanced,M14322,"IN732254,IN732385,IN732089,IN733147",2.59 meters,99 cm,26 cm
$254k,"$203,422",3 Ton 90 Kg,Jan 28 2000,D,super advanced,,"IN732362,IN732357,IN732480,IN732701",2.56 meters,101 cm,27 cm
,"$182,566",3 Ton 160 Kg,Aug 06 1999,L,advanced,M14687,IN733610,2.83 meters,97 cm,25 cm
$122k,"$170,400",3 Ton 120 Kg,Jul 22 2011,D,advanced,M14688,"IN732136,IN733611,IN732263,IN732722,IN733477,IN732921",3.06 meters,93 cm,24 cm
$88k,"$51,938",3 Ton 240 Kg,Aug 09 2002,H,super advanced,M14270,"IN732314,IN733413,IN732240,IN733049,IN733242",2.6 meters,103 cm,27 cm
$380k,"$395,377",3 Ton 260 Kg,Sep 04 2013,B,intermediate,M14325,"IN733612,IN733532",2.67 meters,102 cm,27 cm
$128k,"$48,110",3 Ton 30 Kg,Feb 07 2003,"D,R",advanced,,IN732322,2.19 meters,108 cm,28 cm
$44k,"$21,523",2 Ton 990 Kg,Aug 23 2000,H,super advanced,,"IN732642,IN732456",2.41 meters,103 cm,27 cm
$18k,"$214,050",2 Ton 810 Kg,May 05 2017,N,advanced,,"IN732791,IN732506,IN732299",2.44 meters,99 cm,26 cm
$97k,"$164,299",3 Ton 0 Kg,Apr 16 2003,"J,D",intermediate,M14221,IN732483,2.79 meters,95 cm,25 cm
$254k,"$460,745",2 Ton 850 Kg,Apr 04 2003,C,intermediate,"M14625,M14626",,3.5 meters,83 cm,22 cm
$88k,"$251,688",3 Ton 50 Kg,Dec 30 2011,"U,A",advanced,M14481,"IN732482,IN732288,IN732318,IN732097",2.81 meters,96 cm,25 cm
$207k,"$575,142",3 Ton 450 Kg,Aug 23 2013,"H,M",advanced,M14163,"IN733380,IN733291,IN732319,IN732066,IN732697,IN733544,IN732351,IN733278,IN732341,IN733051,IN732825,IN733285,IN733427,IN732643,IN732558,IN732332,IN733025,IN732512",2.84 meters,102 cm,27 cm
$113k,"$49,851",2 Ton 880 Kg,Aug 22 2008,"V,H",super advanced,M14689,"IN732383,IN732257,IN732682,IN732188,IN732242,IN733050,IN732611,IN732683",2.44 meters,100 cm,26 cm
$113k,"$67,745",3 Ton 50 Kg,May 20 2005,"D,R",advanced,M14690,"IN732237,IN732307,IN732421,IN732280,IN732672,IN733070",2.52 meters,101 cm,27 cm
,"$23,095",3 Ton 60 Kg,Feb 05 2016,H,advanced,M14691,"IN732220,IN733280,IN732743,IN733613",3.07 meters,92 cm,24 cm
$317k,"$469,052",2 Ton 980 Kg,Oct 05 2011,D,advanced,M14194,"IN732503,IN732097,IN733019,IN733614,IN733615,IN732583,IN732698,IN733616,IN733366,IN732395",2.92 meters,93 cm,24 cm
$204k,"$186,957",2 Ton 900 Kg,Apr 27 2007,D,advanced,M14692,"IN733185,IN732294,IN732363,IN732358,IN732219",2.63 meters,97 cm,25 cm
$28k,"$190,872",3 Ton 10 Kg,May 09 2007,D,super advanced,"M14693,M14694","IN732656,IN732459,IN732405,IN732079,IN732674,IN732625,IN732624",2.74 meters,97 cm,25 cm
$270k,"$126,701",2 Ton 840 Kg,Aug 24 2001,D,advanced,M14501,"IN733488,IN732217,IN732909,IN733366,IN732472,IN732551,IN732219,IN733365",2.52 meters,98 cm,26 cm
$348k,"$425,355",3 Ton 300 Kg,Apr 09 2008,A,advanced,M14695,"IN732074,IN732309,IN732415,IN732732,IN732365,IN732061,IN732989",2.8 meters,100 cm,26 cm
$66k,"$43,263",3 Ton 20 Kg,Aug 13 1999,"D,H",super advanced,M14301,"IN732307,IN732617,IN732738,IN732445",2.34 meters,105 cm,27 cm
$66k,"$47,727",3 Ton 100 Kg,Jan 25 2013,"S,A",advanced,"M14696,M14697","IN732789,IN733301,IN732134",2.66 meters,99 cm,26 cm
$191k,"$199,144",2 Ton 990 Kg,Dec 16 2016,A,super advanced,,"IN732446,IN732172,IN732616,IN732505,IN732341,IN733069,IN733307",2.99 meters,92 cm,24 cm
$128k,"$395,718",3 Ton 210 Kg,Oct 08 2014,"H,A",super advanced,M14298,"IN732159,IN732763,IN732853,IN732509,IN732183,IN733617",2.88 meters,97 cm,25 cm
$254k,"$68,665",2 Ton 900 Kg,Aug 27 2004,"J,B",intermediate,,IN732788,2.35 meters,102 cm,27 cm
$97k,"$211,591",3 Ton 180 Kg,Jul 12 2013,"S,A",super advanced,M14698,"IN732074,IN732066,IN733006,IN732079,IN732780,IN732055,IN733618,IN733425",2.75 meters,99 cm,26 cm
$160k,"$78,587",3 Ton 220 Kg,Jun 30 2006,F,super advanced,M14579,"IN732231,IN732660,IN732756",2.41 meters,107 cm,28 cm
$81k,"$38,135",3 Ton 70 Kg,Mar 17 2006,"T,H",advanced,M14699,"IN732065,IN732509,IN732997,IN732835,IN732146",2.79 meters,97 cm,25 cm
$66k,"$51,786",2 Ton 950 Kg,May 04 2001,"D,R",advanced,M14179,"IN732541,IN732547,IN732656,IN732235",2.92 meters,93 cm,24 cm
$160k,"$55,545",2 Ton 970 Kg,Jul 27 2001,N,super advanced,,IN732477,2.46 meters,101 cm,27 cm
$97k,"$23,303",2 Ton 950 Kg,Feb 04 2000,D,advanced,,"IN732235,IN732444",2.99 meters,92 cm,24 cm
$254k,"$219,858",3 Ton 300 Kg,Jan 15 1999,"S,B",advanced,M14700,"IN732270,IN732253,IN733008,IN733231,IN732678,IN732851,IN733285",2.65 meters,103 cm,27 cm
$15k,"$142,788",3 Ton 20 Kg,Jun 25 2004,D,super advanced,M14701,"IN732501,IN732692,IN732328,IN732518",2.11 meters,110 cm,29 cm
$56k,"$80,378",2 Ton 990 Kg,Jun 03 2011,D,advanced,M14702,"IN732483,IN732827,IN733293,IN733083,IN732126,IN732737,IN733044,IN733305",2.2 meters,107 cm,28 cm
$128k,"$190,259",3 Ton 280 Kg,Aug 20 2004,"D,R",super advanced,,"IN732403,IN732325,IN732269,IN732412,IN732384,IN732473,IN732666,IN732401,IN732965,IN732630,IN733224,IN733266,IN732561",3.25 meters,93 cm,24 cm
$66k,"$88,985",3 Ton 270 Kg,Feb 02 2001,"T,H",advanced,M14316,"IN732443,IN732480,IN732396,IN732423",2.69 meters,102 cm,27 cm
,"$71,595",3 Ton 0 Kg,Sep 24 2004,"D,R",advanced,,"IN732890,IN733619,IN732312",2.55 meters,100 cm,26 cm
,"$46,753",2 Ton 920 Kg,Feb 24 2017,D,intermediate,M14703,"IN732932,IN733620,IN733621,IN732550",2.63 meters,97 cm,25 cm
$59k,"$74,865",3 Ton 90 Kg,Jul 02 2010,R,advanced,M14704,"IN732504,IN732616,IN732896,IN732605,IN732730",2.62 meters,100 cm,26 cm
,"$41,923",3 Ton 90 Kg,Dec 26 1997,R,super advanced,M14705,"IN733622,IN732465",2.1 meters,112 cm,29 cm
,"$42,149",3 Ton 210 Kg,Mar 18 2016,"P,H",advanced,,"IN732093,IN732079,IN732987,IN732082,IN733337",2.13 meters,113 cm,30 cm
,"$11,906",2 Ton 940 Kg,Jun 23 2000,D,super advanced,,IN732654,2.09 meters,109 cm,29 cm
$97k,"$104,402",3 Ton 130 Kg,Sep 07 2011,"D,H",super advanced,M14340,"IN732120,IN732929,IN732469,IN732369,IN732565,IN732539,IN732605",2.54 meters,102 cm,27 cm
,"$17,194",3 Ton 380 Kg,Aug 29 2008,"Q,H",super advanced,M14486,"IN733052,IN732387,IN732559,IN733623,IN733342",2.64 meters,104 cm,27 cm
$56k,"$85,351",3 Ton 70 Kg,Aug 26 2016,D,advanced,M14706,"IN732625,IN732062,IN733203,IN732592,IN732239,IN732326,IN733624,IN732463,IN732511",2.3 meters,106 cm,28 cm
,"$73,390",3 Ton 100 Kg,Jan 19 2007,F,super advanced,,"IN732180,IN732729,IN732255,IN732074,IN732505",2.58 meters,101 cm,26 cm
$201k,"$34,268",3 Ton 50 Kg,Aug 10 2001,"F,D",super advanced,M14314,"IN732275,IN732584",2.31 meters,106 cm,28 cm
,"$20,811",3 Ton 240 Kg,Feb 15 2008,H,advanced,M14161,"IN732853,IN732218,IN732276,IN733625,IN732691,IN732658",2.43 meters,106 cm,28 cm
$128k,"$400,644",2 Ton 900 Kg,May 08 2015,"S,A",super advanced,M14265,"IN732692,IN732505,IN733085",2.38 meters,102 cm,27 cm
$710k,"$565,129",3 Ton 60 Kg,Mar 08 2013,"S,D",advanced,M14324,"IN732440,IN732531,IN732351,IN733091,IN732384,IN732643,IN733144,IN732432",2.43 meters,103 cm,27 cm
$34k,"$29,502",2 Ton 880 Kg,Mar 04 2011,D,super advanced,M14707,"IN732636,IN732435,IN732221,IN732454,IN733350,IN732355",2.38 meters,101 cm,27 cm
$36k,"$86,265",3 Ton 50 Kg,Jun 17 2011,"B,A",super advanced,"M14708,M14565","IN732375,IN732097,IN732698,IN732690,IN732353,IN733423,IN732978,IN733626,IN733565",2.47 meters,102 cm,27 cm
,"$27,877",3 Ton 70 Kg,Jul 25 2014,A,super advanced,M14565,"IN732375,IN732690,IN732838,IN732198,IN732484,IN732728,IN732698,IN733627,IN732734,IN732657,IN732658,IN733628,IN733023",2.8 meters,96 cm,25 cm
$160k,"$35,835",3 Ton 150 Kg,Aug 21 1998,"U,H",advanced,,"IN733019,IN732275,IN732926",2.76 meters,98 cm,26 cm
$474k,"$485,381",3 Ton 200 Kg,Feb 26 2016,"S,A",super advanced,M14278,"IN733629,IN732857,IN732101,IN732404,IN733630",2.59 meters,102 cm,27 cm
,"$67,651",3 Ton 40 Kg,Oct 31 2008,"F,D",advanced,M14482,"IN732592,IN732738,IN732386,IN732823",2.54 meters,101 cm,26 cm
,"$610,917",2 Ton 860 Kg,Mar 10 2006,C,intermediate,"M14251,M14709","IN732503,IN732256,IN732623,IN732467,IN732295,IN732474,IN733332",2.96 meters,91 cm,24 cm
$458k,"$682,532",2 Ton 930 Kg,Mar 22 2013,C,intermediate,"M14251,M14709,M14710","IN732503,IN732256,IN732623,IN732467,IN732474,IN732295,IN733244,IN732331,IN732436,IN732624,IN733353",2.45 meters,101 cm,26 cm
$474k,"$568,239",2 Ton 890 Kg,Aug 21 2009,C,intermediate,"M14251,M14709","IN732503,IN732256,IN732623,IN732467,IN732474,IN732295,IN733244,IN732701,IN732502,IN733332,IN733153",2.61 meters,97 cm,25 cm
$128k,"$147,272",3 Ton 10 Kg,Feb 13 2009,D,advanced,,"IN733356,IN733226,IN732627,IN732281,IN733631",2.31 meters,105 cm,28 cm
,"$96,865",2 Ton 880 Kg,Apr 23 1999,"J,D",intermediate,,IN732436,2.09 meters,108 cm,28 cm
$34k,"$65,202",2 Ton 830 Kg,May 07 1999,"F,D",advanced,M14711,"IN733397,IN732506,IN732517",2.71 meters,94 cm,25 cm
$25k,"$359,985",3 Ton 100 Kg,Apr 12 2013,"D,H",super advanced,M14427,"IN733629,IN732122,IN732769,IN732368,IN733253,IN733140,IN733632,IN733633,IN733634",2.6 meters,101 cm,26 cm
$49k,"$210,104",3 Ton 150 Kg,Apr 13 2016,"D,H",super advanced,M14712,"IN732198,IN732122,IN733632,IN733633,IN732467",2.6 meters,101 cm,27 cm
,"$35,829",2 Ton 980 Kg,May 08 2015,"D,H",advanced,M14253,"IN732500,IN732269,IN732529",2.14 meters,109 cm,28 cm
$119k,"$73,266",3 Ton 880 Kg,Sep 29 2000,H,super advanced,M14347,"IN732581,IN732277,IN732249,IN732682,IN732334,IN732390,IN732903,IN732211",2.79 meters,109 cm,28 cm
$176k,"$298,063",3 Ton 50 Kg,Sep 26 2003,"D,R",advanced,M14678,"IN733035,IN732582,IN732306",2.68 meters,98 cm,26 cm
,"$13,941",3 Ton 0 Kg,Jan 29 1999,"T,D",advanced,,,3.03 meters,92 cm,24 cm
$568k,"$761,131",2 Ton 970 Kg,Mar 13 2015,K,intermediate,M14713,"IN732322,IN733001,IN733635,IN733636,IN732653,IN732670,IN733637,IN733638,IN733448",2.45 meters,101 cm,27 cm
$50k,"$110,890",2 Ton 800 Kg,Jan 30 2004,D,advanced,M14323,"IN733583,IN732727,IN732736,IN732396,IN732312,IN732710,IN732187",2.28 meters,102 cm,27 cm
$50k,"$227,745",3 Ton 0 Kg,Nov 01 2013,N,advanced,M14714,"IN732331,IN733404",2.09 meters,110 cm,29 cm
$166k,"$455,516",3 Ton 80 Kg,May 01 2009,"P,P",advanced,,"IN732257,IN732441,IN732269,IN732570,IN732326,IN733639,IN732408",3.38 meters,88 cm,23 cm
$710k,"$917,065",3 Ton 430 Kg,Mar 28 2014,"B,A",advanced,M14145,"IN732751,IN732535,IN732243,IN732165,IN732753,IN732119,IN732597,IN732189,IN732204",2.36 meters,111 cm,29 cm
,"$64,607",2 Ton 970 Kg,Dec 09 2005,"J,D",advanced,,"IN732351,IN732295",2.76 meters,95 cm,25 cm
,"$119,986",3 Ton 150 Kg,Jul 27 2007,D,advanced,M14287,"IN732254,IN732412,IN733469,IN732566",2.95 meters,95 cm,25 cm
$223k,"$247,485",3 Ton 460 Kg,Feb 02 2005,"H,A",super advanced,M14464,"IN732158,IN733010,IN733307,IN732566,IN733182",3.28 meters,95 cm,25 cm
$135k,"$61,215",3 Ton 20 Kg,Nov 09 2012,U,advanced,M14715,"IN732688,IN732987,IN733137,IN732260,IN732098,IN732239,IN733377",2.3 meters,106 cm,28 cm
$260k,"$111,441",3 Ton 190 Kg,Oct 04 2000,"D,H",super advanced,,"IN732267,IN733640,IN732082,IN732617",2.19 meters,111 cm,29 cm
,,3 Ton 350 Kg,Sep 01 2017,H,super advanced,M14716,"IN732110,IN732626,IN733641,IN732195,IN732360",2.8 meters,101 cm,26 cm
,"$28,866",3 Ton 390 Kg,Sep 12 2014,H,advanced,M14717,"IN732149,IN732142",2.73 meters,103 cm,27 cm
,"$245,994",2 Ton 850 Kg,Apr 07 2006,G,basic,M14718,IN732505,1.88 meters,113 cm,30 cm
$66k,"$7,898",2 Ton 730 Kg,Jun 04 2004,D,super advanced,,"IN732584,IN732940",2.58 meters,95 cm,25 cm
$128k,"$52,866",3 Ton 180 Kg,Aug 03 2007,"Q,H",advanced,M14701,"IN733642,IN732587,IN732807,IN733643,IN732797,IN732145,IN732637,IN732857",2.64 meters,101 cm,27 cm
,"$452,449",3 Ton 200 Kg,Oct 08 2009,D,intermediate,M14416,"IN732504,IN732583",2.54 meters,103 cm,27 cm
$160k,"$108,417",2 Ton 870 Kg,Mar 18 2011,"J,D",intermediate,M14535,"IN732637,IN732740,IN733422,IN732120,IN732605,IN732731,IN732277,IN733363,IN733427,IN732478,IN733014,IN732500,IN732371,IN732940,IN732583",2.65 meters,96 cm,25 cm
,"$121,379",3 Ton 60 Kg,Sep 26 1997,"S,D",advanced,M14216,"IN732399,IN732054,IN732527,IN732441,IN732617,IN733156,IN733471,IN732512,IN732618,IN732591,IN732517",2.63 meters,99 cm,26 cm
$474k,"$69,926",2 Ton 880 Kg,Dec 23 2011,C,intermediate,M14719,"IN732567,IN733362,IN732730,IN733644",2.6 meters,97 cm,25 cm
,"$26,281",3 Ton 80 Kg,Aug 15 2008,H,intermediate,M14720,"IN732093,IN732114,IN732437,IN733362,IN732369",2.31 meters,106 cm,28 cm
$12k,"$62,989",3 Ton 0 Kg,May 16 2003,E,super advanced,,IN732357,3.0 meters,92 cm,24 cm
$694k,"$1,961,055",3 Ton 420 Kg,Feb 15 2013,"B,A",advanced,M14276,"IN732691,IN732658,IN732346,IN732604,IN732146,IN732087,IN732692,IN732211,IN732094,IN732695,IN733093,IN732570,IN732350,IN732261",2.77 meters,102 cm,27 cm
,"$20,648",3 Ton 80 Kg,Dec 06 1996,"Q,N",super advanced,M14558,"IN732562,IN732645,IN732054,IN732430",2.76 meters,97 cm,25 cm
$474k,"$297,802",3 Ton 380 Kg,Aug 27 2004,V,advanced,M14721,"IN732189,IN732261",2.76 meters,102 cm,27 cm
,"$8,799",3 Ton 60 Kg,Jun 05 1998,"J,B",advanced,,IN733022,2.23 meters,108 cm,28 cm
,"$57,282",2 Ton 940 Kg,Jul 14 2017,D,advanced,M14722,"IN732846,IN732583,IN732435",2.56 meters,99 cm,26 cm
,"$118,663",3 Ton 200 Kg,Jun 25 2004,F,advanced,M14170,"IN732231,IN732321",3.06 meters,94 cm,25 cm
,"$38,688",2 Ton 970 Kg,Jun 01 2007,D,intermediate,M14723,"IN732272,IN732216,IN733526,IN732512",2.52 meters,100 cm,26 cm
$116k,"$107,834",2 Ton 950 Kg,May 16 1997,"J,B",intermediate,M14459,IN732617,2.54 meters,99 cm,26 cm
$66k,"$136,727",3 Ton 110 Kg,Apr 08 2016,J,intermediate,M14724,"IN732779,IN732171,IN732720",2.51 meters,103 cm,27 cm
$81k,"$57,050",2 Ton 860 Kg,Jul 19 2002,"J,D",intermediate,M14227,,2.42 meters,100 cm,26 cm
$113k,"$130,548",3 Ton 0 Kg,Jul 31 2009,"F,A",advanced,M14169,"IN732747,IN732159,IN732717,IN732155,IN733466",2.65 meters,98 cm,26 cm
,"$14,715",2 Ton 920 Kg,Jul 28 2017,A,advanced,,,2.71 meters,96 cm,25 cm
,"$48,279",3 Ton 0 Kg,Jun 27 1997,A,super advanced,M14725,"IN733645,IN733197",2.65 meters,98 cm,26 cm
$194k,"$259,378",3 Ton 310 Kg,Jul 01 2016,"B,A",advanced,M14726,"IN732487,IN733646,IN733647,IN733648,IN732933,IN733649,IN733135,IN733650,IN733651",3.29 meters,92 cm,24 cm
,"$142,464",3 Ton 280 Kg,Dec 04 2015,"T,H",intermediate,M14727,"IN732299,IN732165",2.56 meters,104 cm,27 cm
,"$16,949",3 Ton 90 Kg,Jan 30 1998,D,intermediate,M14728,"IN732677,IN733472,IN733625",2.49 meters,103 cm,27 cm
$66k,"$179,417",3 Ton 100 Kg,Mar 17 2017,R,advanced,,"IN733652,IN733653",2.86 meters,96 cm,25 cm
$163k,"$287,255",3 Ton 160 Kg,Apr 06 2001,D,super advanced,M14505,"IN732267,IN732367,IN732721,IN732619",2.94 meters,95 cm,25 cm
$28k,"$23,950",3 Ton 40 Kg,Mar 25 2016,H,advanced,,,2.65 meters,99 cm,26 cm
$56k,"$273,078",2 Ton 970 Kg,Feb 11 2005,D,advanced,M14283,"IN732429,IN732353,IN732335,IN732326",2.5 meters,100 cm,26 cm
,"$69,378",2 Ton 990 Kg,Jun 09 2017,A,super advanced,,"IN732993,IN732698,IN732351,IN732715",2.39 meters,103 cm,27 cm
$191k,"$39,799",2 Ton 900 Kg,Apr 24 2009,"S,D",intermediate,M14184,"IN732362,IN732987,IN732491,IN732538,IN733203,IN732395",2.83 meters,93 cm,24 cm
$285k,"$142,893",3 Ton 810 Kg,Aug 27 1999,"K,H",advanced,M14584,"IN732073,IN732457,IN732610,IN733113,IN732529,IN733654",2.54 meters,113 cm,30 cm
,"$15,516",3 Ton 50 Kg,Nov 14 1997,D,super advanced,,,2.79 meters,96 cm,25 cm
